transaction_id,customer_id,amount,status,payment_method,previous_successes,previous_failures,checkout_abandoned,invoice_status,days_overdue,subscription_status
TXN001,CUST001,2499,failed,UPI,8,1,false,paid,0,none
TXN002,CUST002,4999,failed,CARD,5,2,false,paid,0,none
TXN003,CUST003,12999,abandoned,UPI,4,0,true,none,0,none
TXN004,CUST004,7999,failed,CARD,9,1,false,paid,0,none
TXN005,CUST005,15999,overdue,NETBANKING,6,0,false,pending,12,none
TXN006,CUST006,2999,failed,UPI,3,3,false,paid,0,none
TXN007,CUST007,24999,abandoned,CARD,7,1,true,none,0,none
TXN008,CUST008,8999,failed,UPI,10,1,false,paid,0,none
TXN009,CUST009,3499,overdue,UPI,5,0,false,pending,7,none
TXN010,CUST010,49999,failed,CARD,1,4,false,paid,0,none
TXN011,CUST011,6999,abandoned,UPI,6,0,true,none,0,none
TXN012,CUST012,1999,failed,UPI,9,1,false,paid,0,none
TXN013,CUST013,12999,overdue,CARD,8,0,false,pending,15,none
TXN014,CUST014,5499,failed,UPI,7,1,false,paid,0,active
TXN015,CUST015,18999,failed,CARD,2,3,false,paid,0,active
TXN016,CUST016,3999,abandoned,UPI,4,0,true,none,0,none
TXN017,CUST017,15999,overdue,NETBANKING,9,0,false,pending,5,none
TXN018,CUST018,7999,failed,UPI,8,1,false,paid,0,active
TXN019,CUST019,29999,abandoned,CARD,5,1,true,none,0,none
TXN020,CUST020,5999,failed,UPI,10,0,false,paid,0,active
